Team A,Team B,Last 3,Last 2,Last 1,Olympics Domination,World Cup Domination,FIH Pro League Domination,H2H A,H2H B,H2H Draw,Team A Rank,Team B Rank,Win Percent A,Win Percent B,Draw Percent,Team A BP,Team B BP
Argentina,Australia,Draw,Australia,Draw,Australia,Argentina,Australia,1,12,5,7,5,0.13,0.65,0.21999999999999997,Matías Paredes,Blake Govers
Argentina,Belarus,-,-,Argentina,Draw,Argentina,Draw,1,0,0,7,35,0.71,0.06,0.23000000000000004,Matías Paredes,Mikhail Stefanovich
Argentina,Belgium,Belgium,Argentina,Belgium,Draw,Argentina,Belgium,5,5,0,7,2,0.38,0.38,0.24,Matías Paredes,Tom Boon
Argentina,Brazil,-,-,-,-,-,-,-,-,-,7,32,0.79,0.03,0.17999999999999997,Matías Paredes,Yuri van der Heijden
Argentina,Canada,Canada,Argentina,Argentina,Draw,Argentina,Draw,2,1,0,7,19,0.48,0.28,0.24,Matías Paredes,Taylor Curran
Argentina,Chile,-,-,Argentina,Draw,Argentina,Draw,1,0,0,7,22,0.3,0.0,0.7,Matías Paredes,Martín Rodríguez
Argentina,China,-,-,-,-,-,-,-,-,-,7,23,0.52,0.24,0.24,Matías Paredes,Chongong Chen
Argentina,Cuba,-,-,-,-,-,-,-,-,-,7,38,0.63,0.14,0.22999999999999998,Matías Paredes,Carlos Consuegra
Argentina,Egypt,Argentina,Argentina,Argentina,Argentina,Draw,Draw,3,0,0,7,17,0.61,0.12,0.27,Matías Paredes,Amr Sayed
Argentina,England,England,Argentina,Argentina,Draw,Argentina,Argentina,4,1,1,7,6,0.57,0.19,0.24000000000000005,Matías Paredes,David Condon
Argentina,France,Argentina,France,Draw,Draw,Argentina,Draw,1,3,1,7,9,0.3,0.45,0.24999999999999994,Matías Paredes,Viktor Lockwood
Argentina,Germany,Germany,Draw,Draw,Germany,Argentina,Germany,2,10,7,7,3,0.22,0.55,0.22999999999999998,Matías Paredes,Björn Michel
Argentina,Great Britain,Draw,Argentina,Draw,Great Britain,Draw,Argentina,2,4,3,7,6,0.22,0.55,0.22999999999999998,Matías Paredes,Alan Forsyth
Argentina,India,Draw,India,India,India,Argentina,India,5,10,5,7,4,0.26,0.5,0.24,Matías Paredes,Harmanpreet Singh
Argentina,Ireland,-,Argentina,Argentina,Argentina,Argentina,Draw,2,0,0,7,12,0.64,0.13,0.22999999999999998,Matías Paredes,Shane O'Donoghue
Argentina,Japan,Japan,Japan,Argentina,Argentina,Argentina,Draw,1,2,0,7,16,0.32,0.44,0.23999999999999994,Matías Paredes,Koji Yamasaki
Argentina,Kenya,-,-,Argentina,Argentina,Draw,Draw,1,0,0,7,70,0.65,0.03,0.31999999999999995,Matías Paredes,Wakhura Constant
Argentina,Korea,Korea,Argentina,Draw,Draw,Draw,Draw,1,1,3,7,11,0.47,0.27,0.26,Matías Paredes,Jang Jong-hyun
Argentina,Malaysia,Malaysia,Malaysia,Draw,Malaysia,Draw,Draw,0,2,1,7,13,0.2,0.47,0.33000000000000007,Matías Paredes,Razie Rahim
Argentina,Netherlands,Draw,Netherlands,Draw,Netherlands,Argentina,Netherlands,1,10,7,7,1,0.21,0.56,0.22999999999999998,Matías Paredes,Jeroen Hertzberger
Argentina,New Zealand,Argentina,Argentina,Draw,New Zealand,Argentina,Argentina,9,4,1,7,10,0.49,0.27,0.24,Matías Paredes,Kane Russell
Argentina,Pakistan,Argentina,Argentina,Pakistan,Pakistan,Draw,Draw,2,5,0,7,15,0.16,0.62,0.21999999999999997,Matías Paredes,Muhammad Umar Bhutta
Argentina,Poland,-,-,Draw,Draw,Draw,Draw,0,0,1,7,28,0.2,0.22,0.5800000000000001,Matías Paredes,Mikołaj Gumny
Argentina,Russia,-,Russia,Russia,Russia,Argentina,Draw,0,2,0,7,25,0.08,0.72,0.20000000000000007,Matías Paredes,Loginov Iaroslav
Argentina,South Africa,Argentina,Draw,Argentina,Argentina,Argentina,Argentina,6,1,1,7,14,0.58,0.18,0.24000000000000005,Matías Paredes,Jethro Eustice
Argentina,Spain,Argentina,Spain,Argentina,Argentina,Argentina,Argentina,11,4,3,7,8,0.51,0.26,0.22999999999999998,Matías Paredes,Álvaro Iglesias
Argentina,United States,-,-,Argentina,Argentina,Draw,Draw,1,0,0,7,24,0.55,0.09,0.36,Matías Paredes,Ajai Dhadwal
Argentina,Wales,-,-,Argentina,Draw,Argentina,Draw,1,0,0,7,18,0.57,0.0,0.43000000000000005,Matías Paredes,Lewis Prosser
Australia,Belarus,-,-,Australia,Draw,Australia,Draw,1,0,0,5,35,0.81,0.0,0.18999999999999995,Blake Govers,Mikhail Stefanovich
Australia,Belgium,Draw,Belgium,Belgium,Belgium,Australia,Belgium,3,5,2,5,2,0.32,0.45,0.22999999999999993,Blake Govers,Tom Boon
Australia,Brazil,-,-,Australia,Australia,Draw,Draw,1,0,0,5,32,0.21,0.0,0.79,Blake Govers,Yuri van der Heijden
Australia,Canada,-,Australia,Australia,Australia,Draw,Draw,2,0,0,5,19,0.73,0.01,0.26,Blake Govers,Taylor Curran
Australia,Chile,-,-,-,-,-,-,-,-,-,5,22,0.71,0.09,0.20000000000000004,Blake Govers,Martín Rodríguez
Australia,China,-,-,Australia,Draw,Australia,Draw,1,0,0,5,23,0.08,0.0,0.92,Blake Govers,Chongong Chen
Australia,Cuba,-,-,Australia,Draw,Australia,Draw,1,0,0,5,38,0.59,0.0,0.41000000000000003,Blake Govers,Carlos Consuegra
Australia,Egypt,-,-,Australia,Australia,Draw,Draw,1,0,0,5,17,0.65,0.03,0.31999999999999995,Blake Govers,Amr Sayed
Australia,England,Australia,Australia,Australia,Draw,Australia,Draw,5,1,0,5,6,0.77,0.04,0.18999999999999997,Blake Govers,David Condon
Australia,France,Australia,Australia,Australia,Draw,Australia,Draw,3,0,0,5,9,0.73,0.01,0.26,Blake Govers,Viktor Lockwood
Australia,Germany,Germany,Australia,Germany,Australia,Draw,Australia,9,6,1,5,3,0.47,0.3,0.23000000000000004,Blake Govers,Björn Michel
Australia,Great Britain,Australia,Great Britain,Draw,Australia,Draw,Australia,7,3,5,5,6,0.56,0.2,0.23999999999999994,Blake Govers,Alan Forsyth
Australia,India,Draw,Australia,Draw,Australia,Australia,Australia,11,1,5,5,4,0.55,0.19,0.25999999999999995,Blake Govers,Harmanpreet Singh
Australia,Ireland,Australia,Australia,Australia,Draw,Australia,Australia,3,0,0,5,12,0.77,0.04,0.18999999999999997,Blake Govers,Shane O'Donoghue
Australia,Japan,Australia,Australia,Australia,Australia,Australia,Draw,3,0,0,5,16,0.65,0.07,0.27999999999999997,Blake Govers,Koji Yamasaki
Australia,Kenya,-,-,Australia,Australia,Draw,Draw,1,0,0,5,70,0.41,0.01,0.5800000000000001,Blake Govers,Wakhura Constant
Australia,Korea,Australia,Australia,Australia,Australia,Australia,Draw,4,0,0,5,11,0.58,0.18,0.24000000000000005,Blake Govers,Jang Jong-hyun
Australia,Malaysia,Australia,Australia,Australia,Australia,Australia,Draw,5,0,0,5,13,0.82,0.01,0.17000000000000004,Blake Govers,Razie Rahim
Australia,Netherlands,Netherlands,Netherlands,Australia,Netherlands,Australia,Australia,11,9,5,5,1,0.44,0.32,0.24000000000000005,Blake Govers,Jeroen Hertzberger
Australia,New Zealand,Australia,Australia,Australia,Australia,Australia,Australia,10,1,0,5,10,0.67,0.09,0.23999999999999996,Blake Govers,Kane Russell
Australia,Pakistan,Australia,Australia,Australia,Australia,Draw,Draw,7,3,0,5,15,0.67,0.12,0.20999999999999996,Blake Govers,Muhammad Umar Bhutta
Australia,Poland,-,Australia,Australia,Australia,Australia,Draw,2,0,0,5,28,0.73,0.01,0.26,Blake Govers,Mikołaj Gumny
Australia,Russia,-,-,Australia,Draw,Australia,Draw,1,0,0,5,25,0.88,0.0,0.12,Blake Govers,Loginov Iaroslav
Australia,South Africa,Australia,Australia,Australia,Australia,Australia,Draw,5,0,1,5,14,0.43,0.01,0.56,Blake Govers,Jethro Eustice
Australia,Spain,Australia,Australia,Australia,Australia,Australia,Draw,11,7,2,5,8,0.49,0.28,0.22999999999999998,Blake Govers,Álvaro Iglesias
Australia,United States,-,-,Australia,Australia,Draw,Draw,1,0,0,5,24,0.61,0.16,0.23,Blake Govers,Ajai Dhadwal
Australia,Wales,-,-,-,-,-,-,-,-,-,5,18,0.71,0.08,0.21000000000000002,Blake Govers,Lewis Prosser
Belarus,Belgium,-,-,Belgium,Draw,Belarus,Draw,0,1,0,35,2,0.0,0.56,0.43999999999999995,Mikhail Stefanovich,Tom Boon
Belarus,Brazil,-,-,-,-,-,-,-,-,-,35,32,0.35,0.1,0.55,Mikhail Stefanovich,Yuri van der Heijden
Belarus,Canada,-,-,-,-,-,-,-,-,-,35,19,0.17,0.49,0.33999999999999997,Mikhail Stefanovich,Taylor Curran
Belarus,Chile,-,-,-,-,-,-,-,-,-,35,22,0.2,0.42,0.38000000000000006,Mikhail Stefanovich,Martín Rodríguez
Belarus,China,-,-,-,-,-,-,-,-,-,35,23,0.16,0.53,0.30999999999999994,Mikhail Stefanovich,Chongong Chen
Belarus,Cuba,-,-,-,-,-,-,-,-,-,35,38,0.23,0.37,0.4,Mikhail Stefanovich,Carlos Consuegra
Belarus,Egypt,-,-,-,-,-,-,-,-,-,35,17,0.21,0.39,0.4,Mikhail Stefanovich,Amr Sayed
Belarus,England,-,-,England,Draw,Belarus,Draw,0,1,0,35,6,0.0,0.56,0.43999999999999995,Mikhail Stefanovich,David Condon
